End_of_Period,Loan_Number,Region,Country_Code,Country,Borrower,Guarantor_Country_Code,Guarantor,Loan_Type,Loan_Status,Interest_Rate,Project_ID,Project_Name,Original_Principal_Amount,Cancelled_Amount_,Undisbursed_Amount_,Disbursed_Amount_,Repaid_to_IBRD_,Due_to_IBRD_,Exchange_Adjustment_,Borrowers_Obligation_,Sold_Third_Party_,Repaid__Third_Party,Due__Third_Party_,Loans_Held_,First_Repayment_Date,Last_Repayment_Date,Agreement_Signing_Date,Board_Approval_Date,Effective_Date_(Most_Recent),Closed_Date_(Most_Recent),Last_Disbursement_Date
9/30/2025,IBRD2470S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"EMP. MUNICIPALES DE CUCUTA",CO,Colombia,SCPD,"Fully Repaid",9,P006791,"CUCUTA WATER/SEW",6149001,0,0,6149000.76,6149001,0,0,0,0,0,0,0,8/15/1997,8/15/2001,9/21/1984,9/11/1984,4/30/1985,6/30/1995,
9/30/2025,IBRD24760,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,ECOPETROL,CO,Colombia,CPL,"Fully Repaid",7,P006789,"PETROLEUM I",130000000,23074075,0,106925925.1,106925925,0,0,0,0,0,0,0,3/15/1989,9/15/1998,11/27/1984,11/6/1984,1/25/1985,6/30/1989,8/16/1989
9/30/2025,IBRD24770,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"BANCO DE LA REPUBLICA",CO,Colombia,CPL,"Fully Repaid",7,P006787,"DFC IX",90000000,5315744,0,84684256,84684256,0,0,0,0,0,0,0,7/15/1989,7/15/2001,11/27/1984,11/6/1984,2/25/1985,6/30/1990,10/11/1990
9/30/2025,IBRD25120,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"EMPRESA DE ACUEDUCTO Y ALCANTA DE BOGOTA",CO,Colombia,CPL,"Fully Repaid",6,P006792,"BOGOTA WATER IV",94475379,24623379,0,69852000,69852000,0,0,0,0,0,0,0,9/1/1990,3/1/2002,4/3/1985,4/2/1985,7/1/1985,6/30/1993,1/28/1994
9/30/2025,IBRD2512S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"EMPRESA DE ACUEDUCTO Y ALCANTA DE BOGOTA",CO,Colombia,SCPD,"Fully Repaid",9,P006792,"BOGOTA WATER IV",34524621,0,0,34524620.96,34524621,0,0,0,0,0,0,0,3/1/1998,3/1/2002,4/3/1985,4/2/1985,7/1/1985,6/30/1993,
9/30/2025,IBRD25510,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",6,P006824,"TRADE POLICY",184835809,511009,0,184324800,184324800,0,0,0,0,0,0,0,11/1/1989,5/1/2002,5/29/1985,5/23/1985,6/14/1985,6/30/1988,10/26/1988
9/30/2025,IBRD2551S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,SCPD,"Fully Repaid",8,P006824,"TRADE POLICY",115164191,0,0,115164191.1,115164191,0,0,0,0,0,0,0,11/1/1997,5/1/2002,5/29/1985,5/23/1985,6/14/1985,6/30/1988,
9/30/2025,IBRD26110,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",6,P006794,"PUBLIC HEALTH",29623857,19554557,0,10069300,10069300,0,0,0,0,0,0,0,9/1/1990,9/1/2002,8/21/1985,7/30/1985,11/19/1985,6/30/1993,12/9/1993
9/30/2025,IBRD2611S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,SCPD,"Fully Repaid",8,P006794,"PUBLIC HEALTH",6876143,0,0,6876143.32,6876143,0,0,0,0,0,0,0,9/1/1997,9/1/2002,8/21/1985,7/30/1985,11/19/1985,6/30/1993,
9/30/2025,IBRD26340,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"EMPRESA DE ENERGIA ELECTRICA",CO,Colombia,CPL,"Fully Repaid",6,P006790,"BOGOTA DIST II",171000000,56568101,0,114431899.3,114431899,0,0,0,0,0,0,0,5/1/1990,11/1/2002,12/1/1986,11/26/1985,9/30/1987,9/30/1993,1/10/1994
9/30/2025,IBRD26350,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"EMPRESA PUERTOS DE COLOMBIA",CO,Colombia,CPL,"Fully Repaid",6,P006796,"PORT REHAB",30864901,14482501,0,16382400,16382400,0,0,0,0,0,0,0,8/15/1990,2/15/2003,2/20/1986,11/26/1985,5/9/1986,2/28/1992,7/23/1992
9/30/2025,IBRD2635S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"EMPRESA PUERTOS DE COLOMBIA",CO,Colombia,SCPD,"Fully Repaid",7,P006796,"PORT REHAB",11935099,0,0,11935098.68,11935099,0,0,0,0,0,0,0,8/15/1997,2/15/2003,2/20/1986,11/26/1985,5/9/1986,2/28/1992,
9/30/2025,IBRD26370,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"ALCALDIA DE BARRANQUILLA",CO,Colombia,CPL,"Fully Repaid",4,P006823,"BARRANQ'LA WTR SUP",24000000,2097126,0,21902874.15,21902874,0,0,0,0,0,0,0,3/15/1990,9/15/2002,12/16/1985,11/26/1985,4/30/1986,12/31/1991,4/12/1995
9/30/2025,IBRD26670,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"INSTITUTO NAC. DE ADEC. TIERRAS - INAT",CO,Colombia,CPL,"Fully Repaid",5,P006793,"IRRIGATION II",76993985,16904585,0,60089400,60089400,0,0,0,0,0,0,0,12/15/1990,6/15/2003,5/27/1986,3/25/1986,2/24/1987,6/30/1996,11/14/1996
9/30/2025,IBRD2667S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"INSTITUTO NAC. DE ADEC. TIERRAS - INAT",CO,Colombia,SCPD,"Fully Repaid",7,P006793,"IRRIGATION II",37006015,0,0,37006015.26,37006015,0,0,0,0,0,0,0,12/15/1997,6/15/2003,5/27/1986,3/25/1986,2/24/1987,6/30/1996,
9/30/2025,IBRD26680,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"CAMINOS VECINALES",CO,Colombia,CPL,"Fully Repaid",6,P006800,"RURAL TRNSPRT",33390000,0,0,33390000,33390000,0,0,0,0,0,0,0,11/15/1990,5/15/2003,5/27/1986,3/25/1986,7/11/1986,12/31/1992,5/13/1993
9/30/2025,IBRD2668S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"CAMINOS VECINALES",CO,Colombia,SCPD,"Fully Repaid",7,P006800,"RURAL TRNSPRT",28610000,0,0,28610000,28610000,0,0,0,0,0,0,0,11/15/1997,5/15/2003,5/27/1986,3/25/1986,7/11/1986,12/31/1992,
9/30/2025,IBRD26770,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",5,P006819,"TRADE & AGR SCTR",250000000,853488,0,249146512.1,249146512,0,0,0,0,0,0,0,10/15/1990,4/15/2003,5/27/1986,4/15/1986,6/23/1986,5/31/1990,11/15/1989
9/30/2025,IBRD28290,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"INSTITUTO NACIONAL DE VIAS",CO,Colombia,CPL,"Fully Repaid",6,P006810,"2ND HWY SCTR",76285000,0,0,76285000,76285000,0,0,0,0,0,0,0,3/1/1992,9/1/2004,10/8/1987,6/9/1987,12/21/1987,12/31/1993,6/8/1994
9/30/2025,IBRD2829S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"INSTITUTO NACIONAL DE VIAS",CO,Colombia,SCPD,"Fully Repaid",5,P006810,"2ND HWY SCTR",104015000,0,0,104015000,104015000,0,0,0,0,0,0,0,9/1/1997,9/1/2004,10/8/1987,6/9/1987,12/21/1987,12/31/1993,
9/30/2025,IBRD28890,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",7,P006799,"PWR SCTR ADJ",300000000,75000000,0,225000000,225000000,0,0,0,0,0,0,0,8/1/1992,2/1/2005,3/16/1988,12/8/1987,6/6/1988,9/30/1990,8/23/1989
9/30/2025,IBRD29090,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"BANCO AGRARIO DE COLOMBIA",CO,Colombia,CPL,"Fully Repaid",5,P006834,"CAJA AGRARIA",15000000,7391223,0,7608776.88,7608777,0,0,0,0,0,0,0,11/1/1992,5/1/2005,5/13/1988,2/9/1988,9/14/1988,6/30/1994,11/2/1994
9/30/2025,IBRD29610,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,FINDETER,CO,Colombia,CPL,"Fully Repaid",6,P006836,"WS & WASTE SCTR",48408178,4658178,0,43750000,43750000,0,0,0,0,0,0,0,3/1/1994,9/1/2005,2/8/1989,6/16/1988,8/16/1989,12/31/1996,6/12/1997
9/30/2025,IBRD2961S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,FINDETER,CO,Colombia,SCPD,"Fully Repaid",6,P006836,"WS & WASTE SCTR",101591822,782337,0,100809485.3,100809485,0,0,0,0,0,0,0,9/1/1997,9/1/2005,2/8/1989,6/16/1988,8/16/1989,12/31/1996,7/1/1997
9/30/2025,IBRD30100,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",5,P006842,"ED SCTR",100000000,4225724,0,95774275.66,95774276,0,0,0,0,0,0,0,8/15/1994,2/15/2006,1/27/1989,12/20/1988,3/28/1989,3/31/1998,8/26/1998
9/30/2025,IBRD30250,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"BANCO DE LA REPUBLICA",CO,Colombia,CPL,"Fully Repaid",7,P006809,"5TH SMLL-SCLE IND",80000000,3780362,0,76219638.2,76219638,0,0,0,0,0,0,0,11/15/1994,5/15/2006,9/25/1989,3/14/1989,1/25/1991,6/30/1995,8/26/1994
9/30/2025,IBRD31130,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",6,P006860,"SMALL-SCALE IRRIG",78200000,34152545,0,44047454.86,44047455,0,0,0,0,0,0,0,3/15/1995,9/15/2006,1/25/1990,8/1/1989,7/11/1990,12/31/1997,9/4/1998
9/30/2025,IBRD31570,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"CAMINOS VECINALES",CO,Colombia,CPL,"Fully Repaid",6,P006856,"RURAL RDS SCTR II",11462546,13866,0,11448680,11448680,0,0,0,0,0,0,0,5/15/1995,11/15/2006,3/7/1990,1/16/1990,6/6/1990,12/31/1995,5/9/1996
9/30/2025,IBRD3157S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"CAMINOS VECINALES",CO,Colombia,SCPD,"Fully Repaid",6,P006856,"RURAL RDS SCTR II",43537454,0,0,43537454.29,43537454,0,0,0,0,0,0,0,11/15/1997,11/15/2006,3/7/1990,1/16/1990,6/6/1990,12/31/1995,
9/30/2025,IBRD32010,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",7,P006869,"COMM CHILD CARE & NU",24000000,1430452,0,22569547.51,22569548,0,0,0,0,0,0,0,2/15/1996,8/15/2007,8/1/1990,5/22/1990,12/5/1990,3/31/1997,1/3/1997
9/30/2025,IBRD32500,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",7,P006858,"RURAL DEV INVEST",75000000,0,0,75000000,75000000,0,0,0,0,0,0,0,4/1/1996,10/1/2007,9/14/1990,7/31/1990,1/31/1991,12/31/1996,6/19/1997
9/30/2025,IBRD32780,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",6,P006879,"PUB SCTR REF",38001029,6899,0,37994130,37994130,0,0,0,0,0,0,0,3/15/1996,9/15/2007,12/28/1990,12/11/1990,2/19/1991,12/31/1994,11/8/1995
9/30/2025,IBRD3278S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,SCPD,"Fully Repaid",7,P006879,"PUB SCTR REF",265998971,0,0,265998971.1,265998971,0,0,0,0,0,0,0,9/15/1997,9/15/2007,12/28/1990,12/11/1990,2/19/1991,12/31/1994,
9/30/2025,IBRD33210,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"BANCO DE LA REPUBLICA",CO,Colombia,CPL,"Fully Repaid",5,P006865,"IND RESTRUC",200000000,17265025,0,182734974.8,182734975,0,0,0,0,0,0,0,11/15/1996,5/15/2008,1/22/1992,5/2/1991,7/31/1992,3/31/1998,7/1/1999
9/30/2025,IBRD33360,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",8,P006852,"MUNIC DEVT",60000000,1783080,0,58216920.21,58216920,0,0,0,0,0,0,0,2/1/1997,8/1/2008,11/8/1991,5/30/1991,5/15/1992,12/31/2000,11/8/2001
9/30/2025,IBRD34490,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE DESAROLLO ECONOMICO",CO,Colombia,CPL,"Fully Transferred",7,P006874,IFI-RESTRC&DIVSTITUR,0,0,0,0,0,0,0,0,0,0,0,0,7/15/1997,1/15/2009,6/21/1993,3/24/1992,9/21/1993,12/31/1997,
9/30/2025,IBRD3449A,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE DESAROLLO ECONOMICO",CO,Colombia,SCL,"Fully Cancelled",6,P006874,IFI-RESTRC&DIVSTITUR,55485818,55485818,0,0,0,0,0,0,0,0,0,0,7/15/1997,1/15/2009,6/21/1993,3/24/1992,9/21/1993,12/31/1997,
9/30/2025,IBRD3449S,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE DESAROLLO ECONOMICO",CO,Colombia,SCPD,"Fully Repaid",6,P006874,IFI-RESTRC&DIVSTITUR,44514182,0,0,44514182.15,44514182,0,0,0,0,0,0,0,7/15/1997,1/15/2009,6/21/1993,3/24/1992,9/21/1993,12/31/1997,
9/30/2025,IBRD34530,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"INSTITUTO NACIONAL DE VIAS",CO,Colombia,CPL,"Fully Repaid",8,P006873,"THIRD NATIONAL ROADS",266000000,1381,0,265998618.8,265998619,0,-0.01,-0.01,0,0,0,0,9/1/1997,3/1/2009,12/16/1992,3/26/1992,4/13/1993,12/31/1997,5/15/1998
9/30/2025,IBRD35750,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,FINAGRO,CO,Colombia,CPL,"Fully Cancelled",7,P006875,"AG CREDIT",250000000,250000000,0,0,0,0,0,0,0,0,0,0,11/1/1997,5/1/2010,8/13/1993,3/18/1993,11/10/1993,6/30/1999,
9/30/2025,IBRD36080,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Cancelled",0,P006870,"EXPORT DEVELOPMENT",50000000,50000000,0,0,0,0,0,0,0,0,0,0,1/15/1999,7/15/2010,,5/25/1993,5/25/1993,12/31/1999,
9/30/2025,IBRD36150,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",2,P006854,"CO-  MUNICIPAL HEALTH SERVICES",50000000,2216094,0,47783906.13,47783906,0,0,0,0,0,0,0,12/15/1998,6/15/2010,9/30/1993,6/8/1993,1/31/1994,12/31/2002,11/30/2000
9/30/2025,IBRD36690,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",3,P006889,"CO PUBLIC FINANCIAL MAN",30000000,982662,0,29017337.56,29017338,0,0,0,0,0,0,0,7/1/1999,1/1/2014,2/9/1994,12/7/1993,5/10/1994,3/31/2001,11/8/2001
9/30/2025,IBRD36830,"LATIN AMERICA AND CARIBBEAN",CO,Colombia,"MINISTERIO DE HACIENDA Y CREDITO PUBLICO",CO,Colombia,CPL,"Fully Repaid",3,P006866,"CO-  SECONDARY EDUCATION",90000000,239617,0,89760383.13,89760383,0,-0.01,-0.01,0,0,0,0,7/1/1999,1/1/2014,8/9/1994,12/16/1993,3/28/1995,12/31/2002,8/29/2001
